Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
JSWSTEEL,JSW Steel,largecap,1060.0,78.48,1.09,72.36,13.5,823.8,1074.9,-3.09,-70.72,1.94,13.24,0.32,0.98,12.22,5.83,2.54,,1.17,,,Positive,,,,,2,1,4,0,10,2,6,6,6,6,0,10,3.9500000000000006,28.0
WIPRO,Wipro,largecap,262.5,22.11,0.68,36.4,11.83,208.5,324.6,-2.15,12.52,13.97,18.89,2.71,2.83,15.74,7.62,28.34,,0.23,,,Positive,,,,,2,6,10,0,8,6,8,8,10,8,0,10,6.3999999999999995,12.0
TITAN,Titan Company,largecap,3062.0,84.03,0.56,43.27,36.48,2985.05,3867.0,18.56,-6.27,5.58,8.56,0.25,1.55,32.83,10.06,-11.49,,2.22,,,Neutral,,,,,8,1,10,0,8,4,4,10,2,10,0,6,5.829999999999998,14.0
COALINDIA,Coal India,largecap,397.3,7.15,0.02,61.12,55.7,349.25,543.55,-6.93,16.87,26.0,34.06,1.16,1.7,51.47,11.24,2.17,2.55,0.08,,,Neutral,,,,,2,8,8,0,4,10,10,10,10,10,0,6,7.18,6.0
GRASIM,Grasim Industries,largecap,2605.5,45.14,0.56,71.74,57.84,2171.6,2877.75,10.44,-32.46,2.76,18.94,0.35,0.94,7.58,3.7,18.26,1.87,1.09,,,Neutral,,,,,8,1,4,0,8,2,8,4,6,4,0,6,4.430000000000001,27.0
DRREDDY,Dr. Reddy's Laboratories,largecap,1145.0,17.76,0.35,43.49,64.35,1092.45,1421.49,14.74,2.68,17.24,27.48,1.18,1.92,18.47,10.32,19.8,,0.16,,,Negative,,,,,8,4,10,0,4,6,10,8,10,10,0,2,6.959999999999999,8.0
NTPC,NTPC Limited,largecap,358.0,15.86,0.47,64.49,22.55,292.8,448.45,6.14,12.13,11.82,28.41,0.54,0.85,13.5,4.62,7.13,2.06,1.4,,,Negative,,,,,6,6,8,0,4,4,10,6,6,6,0,2,5.759999999999999,16.0
EICHERMOT,Eicher Motors,largecap,5345.25,33.0,0.48,62.15,161.82,3886.1,5575.5,16.78,15.63,23.83,27.52,0.53,1.15,24.22,13.37,16.42,,0.02,,,Neutral,,,,,8,8,8,0,4,8,10,8,10,10,0,6,7.68,3.0
TECHM,Tech Mahindra,largecap,1415.0,33.6,0.39,34.75,42.21,1162.95,1807.7,-0.69,33.02,7.14,11.29,1.62,1.86,8.63,4.44,34.47,4.75,0.08,,,Negative,,,,,2,10,10,0,4,4,4,4,10,6,0,2,5.36,17.0
CIPLA,Cipla,largecap,1441.0,23.36,0.38,42.46,61.74,1317.25,1702.05,6.39,34.51,18.67,25.14,2.47,3.71,16.45,10.75,22.72,4.11,0.02,,,Negative,,,,,6,10,10,0,4,8,10,8,10,10,0,2,7.76,2.0
ONGC,Oil and Natural Gas Corporation,largecap,246.5,7.95,0.61,60.97,31.01,215.48,345.0,2.56,-6.98,6.47,13.98,0.46,0.88,17.08,6.95,16.68,0.88,0.5,,,Neutral,,,,,4,1,8,0,8,4,6,8,8,6,0,6,4.93,22.0
TATACONSUM,Tata Consumer Products,largecap,1001.9,83.76,0.66,61.9,11.96,882.9,1247.1,13.69,-7.62,6.79,13.16,0.65,1.2,7.03,4.67,-10.36,5.05,0.14,,,Neutral,,,,,8,1,8,0,8,4,6,4,10,6,0,6,5.229999999999999,20.0
