Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
NMDC,NMDC Limited,midcap,68.75,9.35,0.76,57.74,7.37,59.7,95.45,13.16,0.72,27.69,34.92,1.99,2.56,23.07,13.21,-5.49,,0.15,,,Neutral,,,,,8,4,8,0,8,10,10,8,10,10,0,6,7.4799999999999995,11.0
ASTRAL,Astral,midcap,1291.0,66.1,0.52,43.45,19.58,1232.3,2454.0,4.59,-7.77,9.11,15.73,0.89,1.77,17.52,10.24,-13.38,10.31,0.06,,,Neutral,,,,,4,1,10,0,8,4,6,8,10,10,0,6,5.63,33.0
BHARATFORG,Bharat Forge,midcap,1159.45,62.32,1.06,57.83,19.2,1002.15,1804.5,1.9,5.1,5.8,17.23,0.64,1.08,13.09,5.71,7.68,,1.08,,,Positive,,,,,4,6,8,0,10,4,6,6,6,6,0,10,5.6000000000000005,34.0
POLYCAB,Polycab India,midcap,5125.0,42.22,0.67,46.57,121.92,4555.0,7605.0,25.3,10.3,8.75,12.64,1.04,2.32,22.17,12.34,32.81,8.53,0.02,,,Positive,,,,,10,6,10,0,8,4,6,8,10,10,0,10,7.4,12.0
LUPIN,Lupin,midcap,2024.0,32.25,0.58,49.11,62.7,1493.3,2402.9,12.94,60.07,13.04,23.14,0.94,1.58,14.38,7.39,78.05,,0.22,,,Neutral,,,,,8,10,10,0,8,6,8,6,10,8,0,6,7.580000000000001,10.0
VOLTAS,Voltas,midcap,1461.0,67.39,0.43,56.64,21.65,1101.2,1944.9,32.16,156.66,4.83,6.59,0.91,1.34,4.37,2.54,82.96,7.69,0.14,,,Positive,,,,,10,10,8,0,4,2,4,2,10,4,0,10,6.000000000000001,26.0
UPL,UPL Limited,midcap,637.2,,1.08,51.66,-1.2,458.45,671.3,-0.98,,-0.21,12.05,0.95,1.46,-5.51,1.96,-4.12,,1.05,,,Positive,,,,,2,0,8,0,10,2,6,2,6,4,0,10,3.6,48.0
GODREJPROP,Godrej Properties,midcap,2126.8,40.05,0.95,53.5,53.17,1901.0,3402.7,29.84,121.91,35.23,1.61,0.25,1.43,7.63,-0.3,49.92,5.46,1.22,,,Positive,,,,,10,10,8,0,10,10,2,4,6,2,0,10,6.7,20.0
SUNDARMFIN,Sundaram Finance,midcap,4556.0,31.62,0.51,47.31,144.66,3732.9,5535.85,20.36,-0.45,40.02,,4.41,4.49,15.53,3.06,18.11,4.03,3.82,,,Positive,,,,,10,1,10,0,8,10,0,8,2,4,0,10,5.6499999999999995,32.0
AUROPHARMA,Aurobindo Pharma,midcap,1155.0,19.4,0.66,53.33,59.81,1031.05,1592.0,10.85,26.62,11.29,21.25,0.96,1.98,11.18,6.46,22.03,2.19,0.27,,,Negative,,,,,8,10,8,0,8,4,8,6,10,6,0,2,6.8599999999999985,17.0
ABCAPITAL,Aditya Birla Capital,midcap,184.99,13.08,1.15,70.32,14.13,149.01,246.9,26.58,32.53,12.73,,3.15,3.29,13.63,1.67,7.15,1.68,3.99,,,Negative,,,,,10,10,4,0,10,6,0,6,2,4,0,2,5.659999999999999,31.0
APLAPOLLO,APL Apollo Tubes,midcap,1520.25,66.69,0.75,58.7,22.86,1272.7,1728.95,12.19,-10.96,3.18,5.43,0.61,1.34,22.16,9.8,2.07,,0.27,,,Positive,,,,,8,1,8,0,8,2,4,8,10,8,0,10,5.55,37.0
SAIL,Steel Authority of India,midcap,114.35,21.2,1.51,58.95,5.43,99.15,175.35,-5.1,-27.69,2.22,10.26,0.2,0.9,5.48,2.79,-8.51,0.83,0.72,,,Positive,,,,,2,1,8,0,4,2,4,4,8,4,0,10,3.5499999999999994,49.0
ASHOKLEY,Ashok Leyland,midcap,204.5,21.2,0.44,44.47,9.63,166.25,264.65,4.52,18.86,5.96,18.6,0.41,1.09,23.85,7.16,21.47,5.82,3.33,,,Positive,,,,,4,8,10,0,4,4,8,8,2,8,0,10,6.199999999999999,23.0
MAXHEALTH,Max Healthcare Institute,midcap,1102.0,105.72,0.28,54.38,10.31,743.1,1227.95,25.86,-4.98,15.42,24.93,1.19,1.37,13.37,7.21,64.19,,0.2,,,Neutral,,,,,10,1,8,0,4,6,8,6,10,8,0,6,6.13,24.0
LTF,L&T Finance,midcap,153.47,14.96,1.26,60.85,10.24,129.2,194.25,10.42,12.34,32.27,,2.09,2.12,10.27,2.22,-17.4,1.57,3.49,,,Neutral,,,,,8,6,8,0,6,10,0,6,2,4,0,6,5.479999999999999,38.0
PETRONET,Petronet LNG,midcap,292.8,12.09,0.52,48.88,24.29,253.4,384.2,-0.66,3.93,6.94,9.19,2.72,3.1,22.36,11.58,55.49,2.33,0.15,,,Neutral,,,,,2,4,10,0,8,4,4,8,10,10,0,6,5.579999999999999,35.0
OFSS,Oracle Financial Services Software,midcap,7820.0,29.67,0.45,43.98,262.84,7022.55,13220.0,9.22,6.89,33.9,44.56,5.48,6.11,30.74,19.61,203.77,,0.0,,,Neutral,,,,,6,6,10,0,4,10,10,10,10,10,0,6,7.68,9.0
PERSISTENT,Persistent Systems,midcap,5483.85,64.64,0.53,51.59,85.3,3232.05,6788.9,19.17,27.23,11.66,15.41,1.78,2.2,24.13,12.24,75.02,13.88,0.08,,,Neutral,,,,,8,10,8,0,8,4,6,8,10,10,0,6,7.38,14.0
PIIND,PI Industries,midcap,3428.85,30.57,0.76,55.9,111.99,2951.1,4804.05,5.89,6.69,21.42,27.09,2.98,3.9,21.11,11.11,4.96,,0.02,,,Positive,,,,,6,6,8,0,8,8,10,8,10,10,0,10,7.3999999999999995,13.0
OBEROIRLTY,Oberoi Realty,midcap,1634.9,23.07,0.64,51.78,70.97,1359.25,2343.65,31.59,59.41,47.34,59.96,0.68,3.89,14.79,7.78,60.15,4.02,0.14,,,Positive,,,,,10,10,8,0,8,10,10,6,10,8,0,10,8.400000000000002,1.0
INDUSTOWER,Indus Towers,midcap,333.25,8.94,0.3,46.86,37.37,292.0,460.35,5.07,80.45,33.82,60.73,0.92,1.44,34.76,15.72,68.1,2.72,0.63,,,Neutral,,,,,6,10,10,0,4,10,10,10,8,10,0,6,8.18,5.0
HDFCAMC,HDFC Asset Management Company,midcap,4009.0,36.41,0.76,58.13,110.24,3415.55,4864.0,31.73,32.39,60.8,81.0,27.16,27.32,29.47,22.04,31.18,12.62,,,,Neutral,,,,,10,10,8,0,8,10,10,10,0,10,0,6,8.379999999999999,3.0
CGPOWER,CG Power and Industrial Solutions,midcap,636.0,104.47,1.22,55.29,6.11,479.25,874.7,20.51,-41.88,10.02,12.85,1.26,1.64,36.22,12.54,60.37,27.67,0.01,,,Neutral,,,,,10,1,8,0,6,4,6,10,10,10,0,6,6.43,22.0
SUZLON,Suzlon Energy,midcap,56.75,67.61,1.35,55.21,0.84,37.9,86.04,54.09,56.97,12.35,15.32,0.98,1.96,26.87,8.37,63.3,15.93,0.04,,,Positive,,,,,10,10,8,0,6,6,6,10,10,8,0,10,7.899999999999999,7.0
IDEA,Vodafone Idea,midcap,6.8,,0.33,35.73,-4.45,6.61,19.18,1.35,,-64.74,27.34,0.19,0.24,,-1.79,-28.95,,,,,Positive,,,,,4,0,10,0,4,2,10,0,0,2,0,10,3.5,50.0
SUPREMEIND,The Supreme Industries,midcap,3425.0,42.6,0.82,43.77,80.43,3281.0,6460.0,7.22,-4.89,9.8,14.21,1.41,2.58,22.49,12.87,3.47,8.2,0.01,,,Neutral,,,,,6,1,10,0,10,4,6,8,10,10,0,6,6.029999999999999,25.0
IDFCFIRSTB,IDFC First Bank,midcap,54.86,20.88,0.95,39.67,2.65,52.6,86.1,8.74,-40.63,,,,,10.13,1.1,-26.41,,,,,Positive,,,,,6,1,10,0,10,0,0,6,0,4,0,10,3.8499999999999996,46.0
AUBANK,AU Small Finance Bank,midcap,532.0,19.7,1.11,47.45,27.14,489.45,755.4,33.44,14.67,,,,,13.04,1.54,-20.98,2.48,,,,Positive,,,,,10,6,10,0,10,0,0,6,0,4,0,10,5.2,39.0
