Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics
LTTS,L&T Technology Services,IT,"4,480.85",36.82,0.60,41.22,122.27,"4,200.00","6,000.00",17.82%,2.80%,12.68%,17.24%,2.37,2.46,26.66%,12.32%,-9.74%,8.48,0.11,N/A,N/A,,N/A,N/A,N/A,N/A
KPITTECH,KPIT Technologies,IT,"1,308.00",47.06,0.43,50.02,27.78,"1,142.30","1,928.70",23.14%,40.01%,13.48%,18.60%,1.21,1.33,31.28%,13.14%,-3.17%,14.19,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
CYIENT,Cyient,IT,"1,260.95",22.12,1.22,41.89,57.21,"1,185.00","2,190.00",3.85%,-3.67%,8.68%,14.54%,1.39,2.15,17.52%,9.56%,-19.72%,n/a,0.10,N/A,N/A,,N/A,N/A,N/A,N/A
ZENSARTECH,Zensar Technologies,IT,701.85,24.62,0.95,45.12,28.33,530.25,984.95,5.46%,5.72%,12.55%,15.06%,2.92,3.04,20.34%,10.63%,23.38%,n/a,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
MASTEK,Mastek,IT,"2,170.00",17.51,1.25,40.41,124.54,"2,061.05","3,375.00",11.57%,37.08%,11.62%,15.91%,1.33,1.42,16.10%,7.73%,6.42%,2.95,0.29,N/A,N/A,,N/A,N/A,N/A,N/A
RATEGAIN,RateGain Travel Technologies,IT,445.60,25.95,0.51,36.37,17.15,419.40,859.00,21.22%,47.19%,19.05%,18.67%,5.16,5.30,13.46%,7.05%,-0.32%,3.37,0.01,N/A,N/A,,N/A,N/A,N/A,N/A
TANLA,Tanla Platforms,IT,464.00,12.10,1.69,44.44,38.60,409.35,"1,086.45",6.73%,-4.27%,12.98%,18.15%,1.88,2.03,31.70%,15.06%,-38.52%,2.98,0.03,N/A,N/A,,N/A,N/A,N/A,N/A
AFFLE,Affle (India),IT,"1,610.00",61.61,1.17,61.03,26.11,"1,033.35","1,884.00",28.24%,28.99%,16.88%,17.11%,2.95,3.07,14.99%,6.81%,36.79%,8.37,0.05,N/A,N/A,,N/A,N/A,N/A,N/A
SONATSOFTW,Sonata Software,IT,345.00,22.48,1.09,32.32,15.38,341.95,769.70,16.76%,36.97%,4.39%,7.61%,0.92,0.99,22.79%,8.55%,-19.26%,6.39,0.42,N/A,N/A,,N/A,N/A,N/A,N/A
TATAMOTORS,Tata Motors,CD,673.25,7.81,1.54,47.90,n/a,606.30,"1,179.00",4.53%,-,7.17%,11.22%,0.62,0.97,42.20%,6.25%,-4.61%,n/a,0.95,N/A,N/A,,N/A,N/A,N/A,N/A
MARUTI,Maruti Suzuki India,CD,"11,490",24.91,0.36,37.16,462.51,"10,725","13,680",11.65%,14.79%,9.66%,13.75%,0.57,0.87,16.84%,7.75%,5.40%,4.06,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
M&M,Mahindra & Mahindra,CD,"2,665.80",24.10,1.05,40.61,110.62,"1,788.80","3,270.95",11.16%,10.98%,8.07%,18.30%,0.47,1.30,16.97%,6.29%,74.06%,4.22,1.46,N/A,N/A,,N/A,N/A,N/A,N/A
EICHERMOT,Eicher Motors,CD,"5,345.25",33.00,0.48,62.15,161.82,"3,886.10","5,575.50",16.78%,15.63%,23.83%,27.52%,0.53,1.15,24.22%,13.37%,16.42%,n/a,0.02,N/A,N/A,,N/A,N/A,N/A,N/A
ASIANPAINT,Asian Paints,CD,"2,326.25",53.03,0.40,63.06,44.14,"2,124.75","3,394.90",-3.58%,-22.16%,12.37%,16.81%,1.27,2.06,30.99%,15.13%,-32.95%,12.44,0.13,N/A,N/A,,N/A,N/A,N/A,N/A
TITAN,Titan Company,CD,"3,062.00",84.03,0.56,43.27,36.48,"2,985.05","3,867.00",18.56%,-6.27%,5.58%,8.56%,0.25,1.55,32.83%,10.06%,-11.49%,n/a,2.22,N/A,N/A,,N/A,N/A,N/A,N/A
DMART,Avenue Supermarts,CD,"4,071.00",97.87,0.38,73.94,41.72,"3,340.00","5,484.85",17.59%,11.60%,4.75%,7.41%,0.95,3.13,14.58%,10.76%,-12.76%,13.19,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
DLF,DLF Limited,CD,680.25,42.07,0.35,48.30,16.18,622.00,967.60,21.79%,68.49%,57.22%,26.50%,0.56,2.30,7.06%,2.16%,13.56%,4.19,0.11,N/A,N/A,,N/A,N/A,N/A,N/A
HAVELLS,Havells India,CD,"1,521.90",68.45,0.67,55.05,22.34,"1,381.30","2,106.00",14.82%,18.39%,6.78%,9.21%,0.99,1.84,18.06%,7.97%,22.49%,12.29,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
ZOMATO,Eternal,CD,201.20,272.09,0.26,38.33,0.74,146.30,304.70,69.41%,Data not found,3.69%,1.50%,2.44,2.62,1.76%,-1.34%,138.99%,8.25,0.05,N/A,N/A,,N/A,N/A,N/A,N/A
VOLTAS,Voltas,CD,"1,461.00",67.39,0.43,56.64,21.65,"1,101.20","1,944.90",32.16%,156.66%,4.83%,6.59%,0.91,1.34,4.37%,2.54%,82.96%,7.69,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
MOTHERSON,Samvardhana Motherson International,CD,130.99,22.35,1.50,52.18,6.03,115.83,216.99,18.07%,104.38%,3.73%,9.86%,0.65,0.97,11.48%,4.67%,58.96%,n/a,0.73,N/A,N/A,,N/A,N/A,N/A,N/A
BHARATFORG,Bharat Forge,CD,"1,159.45",62.32,1.06,57.83,19.20,"1,002.15","1,804.50",1.90%,5.10%,5.80%,17.23%,0.64,1.08,13.09%,5.71%,7.68%,n/a,1.08,N/A,N/A,,N/A,N/A,N/A,N/A
GODREJPROP,Godrej Properties,CD,"2,126.80",40.05,0.95,53.50,53.17,"1,901.00","3,402.70",29.84%,121.91%,35.23%,1.61%,0.25,1.43,7.63%,-0.30%,49.92%,5.46,1.22,N/A,N/A,,N/A,N/A,N/A,N/A
TRENT,Trent,CD,"5,306.05",97.68,0.58,54.29,54.37,"3,843.00","8,345.00",44.01%,131.11%,11.92%,12.45%,0.84,2.02,43.68%,10.26%,132.85%,n/a,0.39,N/A,N/A,,N/A,N/A,N/A,N/A
JUBLFOOD,Jubilant FoodWorks,CD,664.00,114.32,0.19,54.82,5.59,429.60,796.75,42.24%,67.31%,4.87%,13.83%,0.30,0.60,18.72%,5.19%,26.86%,19.99,1.87,N/A,N/A,,N/A,N/A,N/A,N/A
MRF,MRF Limited,CD,"112,500",27.26,0.38,58.38,"4,133.98","102,124","143,850",11.21%,-13.45%,6.39%,13.84%,0.74,1.37,13.25%,7.05%,0.81%,2.70,0.18,N/A,N/A,,N/A,N/A,N/A,N/A
TVSMOTOR,TVS Motor Company,CD,"2,415.05",58.24,0.39,55.47,41.56,"1,873.00","2,958.00",15.25%,20.71%,4.59%,13.81%,0.22,1.02,26.50%,7.52%,16.98%,n/a,3.12,N/A,N/A,,N/A,N/A,N/A,N/A
PAGEIND,Page Industries,CD,"43,075",70.72,0.34,54.38,603.68,"33,815","49,850",4.71%,24.85%,13.91%,19.77%,0.51,2.00,38.36%,18.25%,23.37%,31.96,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
BATAINDIA,Bata India,CD,"1,217.00",44.99,0.54,44.06,27.10,"1,177.00","1,633.00",1.13%,31.74%,9.96%,13.28%,0.76,2.11,17.71%,8.44%,-16.71%,n/a,0.98,N/A,N/A,,N/A,N/A,N/A,N/A
DIXON,Dixon Technologies (India),CD,"13,175",95.31,0.50,41.48,138.28,"7,198","19,149",106.39%,130.84%,2.38%,3.48%,0.60,1.02,24.94%,5.75%,174.32%,33.50,0.31,N/A,N/A,,N/A,N/A,N/A,N/A
AMBER,Amber Enterprises India,CD,"7,180.00",110.09,-0.10,64.02,65.50,"3,310.00","8,177.00",30.29%,55.25%,2.46%,6.99%,0.73,1.02,6.85%,2.98%,136.53%,11.54,0.95,N/A,N/A,,N/A,N/A,N/A,N/A
INDHOTEL,The Indian Hotels Company,CD,785.30,62.10,0.41,52.42,12.67,506.45,894.90,20.28%,53.98%,22.56%,33.09%,1.39,1.54,14.17%,8.09%,100.43%,n/a,0.26,N/A,N/A,,N/A,N/A,N/A,N/A
NAUKRI,Info Edge (India),CD,"7,148.50",166.73,0.95,53.88,43.07,"5,250.00","9,128.90",11.02%,129.72%,20.28%,33.09%,2.87,2.90,2.58%,1.73%,68.96%,2.22,0.01,N/A,N/A,,N/A,N/A,N/A,N/A
IRCTC,Indian Railway Catering & Tourism Corporation,CD,727.00,46.91,0.25,54.27,15.51,656.05,"1,138.90",11.95%,12.21%,27.16%,32.81%,1.49,1.96,38.93%,15.75%,-11.34%,16.51,0.01,N/A,N/A,,N/A,N/A,N/A,N/A
UNOMINDA,Uno Minda,CD,876.95,52.20,0.75,41.67,16.77,680.80,"1,255.00",22.20%,24.14%,6.02%,11.03%,0.68,1.23,19.07%,7.27%,53.74%,n/a,0.38,N/A,N/A,,N/A,N/A,N/A,N/A
SUNTV,Sun TV Network,CD,644.05,14.66,0.59,61.78,44.32,549.30,921.00,-2.66%,-7.63%,43.11%,44.97%,7.96,8.11,19.43%,12.32%,-4.05%,2.26,0.01,N/A,N/A,,N/A,N/A,N/A,N/A
SYMPHONY,Symphony,CD,"1,115.00",42.21,0.63,42.32,26.55,852.00,"1,880.95",25.50%,59.21%,12.83%,18.12%,0.90,1.61,18.18%,7.14%,52.84%,n/a,0.24,N/A,N/A,,N/A,N/A,N/A,N/A
CROMPTON,Crompton Greaves Consumer Electricals,CD,353.80,43.35,0.47,52.66,8.16,268.95,484.00,8.70%,20.63%,6.76%,9.98%,0.83,1.31,13.48%,6.23%,28.02%,7.33,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
KAJARIACER,Kajaria Ceramics,CD,855.00,38.58,0.70,36.95,22.23,831.10,"1,578.70",3.41%,-17.18%,7.54%,13.25%,1.40,2.64,17.01%,10.05%,-10.97%,n/a,0.09,N/A,N/A,,N/A,N/A,N/A,N/A
WHIRLPOOL,Whirlpool of India,CD,993.00,39.59,0.42,44.60,25.02,899.00,"2,449.70",13.00%,57.02%,4.15%,6.05%,1.51,2.28,5.97%,2.06%,34.58%,n/a,0.06,N/A,N/A,,N/A,N/A,N/A,N/A
VGUARD,V-Guard Industries,CD,356.40,52.12,0.36,57.12,6.81,300.00,577.45,15.70%,26.99%,5.55%,8.77%,0.68,1.63,15.05%,7.21%,45.10%,n/a,0.13,N/A,N/A,,N/A,N/A,N/A,N/A
METROBRAND,Metro Brands,CD,"1,018.00",67.33,-0.28,31.21,15.05,990.05,"1,430.00",5.60%,25.93%,16.79%,22.22%,1.84,3.34,23.96%,9.51%,-4.28%,13.97,0.56,N/A,N/A,,N/A,N/A,N/A,N/A
PVRINOX,PVR INOX,CD,909.20,n/a,0.69,38.82,-28.96,866.30,"1,748.00",-3.46%,-,-4.91%,14.05%,0.28,0.42,-0.45%,2.32%,-21.34%,1.26,1.17,N/A,N/A,,N/A,N/A,N/A,N/A
JUSTDIAL,Just Dial,CD,813.75,12.79,0.69,43.77,63.76,756.05,"1,395.00",11.72%,63.95%,48.29%,25.54%,7.61,7.68,9.44%,2.32%,23.86%,1.61,0.02,N/A,N/A,,N/A,N/A,N/A,N/A
NYKAA,FSN E-Commerce Ventures,CD,179.00,971.33,0.27,65.35,0.18,149.75,229.80,25.53%,84.36%,0.70%,3.66%,0.34,1.22,2.97%,2.40%,-5.73%,34.45,0.98,N/A,N/A,,N/A,N/A,N/A,N/A
OLECTRA,Olectra Greentech,CD,"1,166.35",72.81,1.09,50.27,16.03,"1,008.30","2,011.75",32.27%,45.98%,8.02%,14.56%,0.97,1.88,8.95%,5.14%,7.34%,n/a,0.19,N/A,N/A,,N/A,N/A,N/A,N/A
KALYANKJIL,Kalyan Jewellers India,CD,465.15,72.45,0.14,49.24,6.45,336.05,795.40,34.65%,25.46%,2.84%,5.42%,0.07,1.31,15.25%,5.55%,116.68%,11.02,1.04,N/A,N/A,,N/A,N/A,N/A,N/A
HINDUNILVR,Hindustan Unilever,Consumer Durables,"2,257.85",49.40,0.23,52.31,45.73,"2,136.00","3,035.00",1.23%,4.15%,17.14%,22.64%,1.20,1.66,20.17%,11.06%,-12.65%,10.45,0.03,N/A,N/A,,N/A,N/A,N/A,N/A
ITC,ITC Limited,Consumer Durables,410.25,25.43,0.21,49.53,16.10,391.20,528.50,8.43%,-2.00%,26.31%,34.60%,1.85,3.00,28.74%,17.15%,4.97%,6.81,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
NESTLEIND,Nestlé India,Consumer Durables,"2,247.00",66.41,0.17,54.83,33.90,"2,110.00","2,778.00",4.11%,9.00%,16.41%,22.17%,0.29,0.88,-,-,-18.40%,n/a,0.09,N/A,N/A,,N/A,N/A,N/A,N/A
BRITANNIA,Britannia Industries,Consumer Durables,"4,950.00",55.14,0.62,60.28,89.53,"4,506.00","6,469.90",5.19%,-0.20%,12.31%,18.27%,0.72,1.19,56.68%,19.46%,-10.78%,37.05,0.85,N/A,N/A,,N/A,N/A,N/A,N/A
TATACONSUM,Tata Consumer Products,Consumer Durables,"1,001.90",83.76,0.66,61.90,11.96,882.90,"1,247.10",13.69%,-7.62%,6.79%,13.16%,0.65,1.20,7.03%,4.67%,-10.36%,5.05,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
DABUR,Dabur India,Consumer Durables,506.80,50.05,0.32,51.18,10.12,480.00,672.00,2.29%,0.20%,14.32%,18.85%,0.83,1.45,18.35%,8.82%,-9.00%,8.66,0.16,N/A,N/A,,N/A,N/A,N/A,N/A
GODREJCP,Godrej Consumer Products,Consumer Durables,"1,160.00",n/a,0.35,68.78,-4.43,979.50,"1,541.85",1.74%,-,-3.20%,21.18%,0.69,1.00,-4.25%,9.83%,-4.33%,9.75,0.31,N/A,N/A,,N/A,N/A,N/A,N/A
MARICO,Marico,Consumer Durables,652.95,52.61,0.25,63.85,12.36,490.55,736.90,7.95%,9.19%,15.45%,19.88%,0.97,1.64,36.97%,16.28%,16.77%,n/a,0.10,N/A,N/A,,N/A,N/A,N/A,N/A
COLPAL,Colgate-Palmolive (India),Consumer Durables,"2,399.00",44.49,0.38,40.17,53.74,"2,341.40","3,890.00",9.50%,15.98%,24.09%,32.62%,0.86,1.54,73.73%,35.61%,6.04%,n/a,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
PGHH,Procter & Gamble Hygiene and Health Care,Consumer Durables,"13,529",61.68,0.22,48.65,220.55,"12,106","17,745",7.72%,-5.28%,16.59%,24.96%,1.05,1.41,71.66%,29.75%,-15.16%,n/a,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
PATANJALI,Patanjali Foods,Consumer Durables,"1,803.00",56.99,1.27,57.68,31.73,"1,169.95","1,992.20",4.07%,39.62%,3.52%,5.68%,1.11,2.57,7.63%,4.96%,13.14%,6.04,0.10,N/A,N/A,,N/A,N/A,N/A,N/A
EMAMILTD,Emami,Consumer Durables,580.00,31.90,0.78,57.03,18.16,428.20,860.00,6.09%,10.69%,21.22%,26.04%,1.21,1.87,30.36%,15.10%,6.42%,n/a,0.03,N/A,N/A,,N/A,N/A,N/A,N/A
LTFOODS,LT Foods,Consumer Durables,381.60,22.28,0.77,56.21,17.10,186.10,451.60,13.86%,2.31%,6.91%,11.25%,0.35,2.08,19.20%,9.15%,106.25%,3.62,0.32,N/A,N/A,,N/A,N/A,N/A,N/A
RADICO,Radico Khaitan,Consumer Durables,"2,425.00",105.74,0.75,71.19,22.97,"1,429.85","2,637.70",19.48%,22.37%,6.65%,13.24%,0.89,1.72,11.28%,6.23%,57.24%,12.67,0.35,N/A,N/A,,N/A,N/A,N/A,N/A
VBL,Varun Beverages,Consumer Durables,540.05,67.97,0.69,58.27,7.94,419.55,681.12,24.72%,25.43%,12.97%,24.15%,0.91,1.74,22.11%,12.94%,34.36%,10.99,0.17,N/A,N/A,,N/A,N/A,N/A,N/A
JYOTHYLAB,Jyothy Labs,Consumer Durables,328.00,32.42,0.69,42.80,10.14,310.20,595.85,4.79%,6.17%,13.09%,17.03%,1.70,2.37,21.97%,12.49%,-17.01%,n/a,0.03,N/A,N/A,,N/A,N/A,N/A,N/A
UBL,United Breweries,Consumer Durables,"2,000.00",124.38,0.52,56.35,16.09,"1,736.00","2,299.70",12.51%,25.62%,4.87%,8.75%,0.87,1.56,10.08%,4.54%,14.09%,n/a,0.03,N/A,N/A,,N/A,N/A,N/A,N/A
KRBL,KRBL Limited,Consumer Durables,273.50,14.42,0.62,51.58,19.04,241.25,348.70,2.36%,-25.83%,7.97%,10.92%,0.50,5.40,12.48%,7.85%,-19.85%,1.27,0.05,N/A,N/A,,N/A,N/A,N/A,N/A
BAJAJCON,Bajaj Consumer Care,Consumer Durables,157.40,17.29,0.66,37.11,9.26,152.00,288.95,-3.95%,-16.95%,13.61%,13.10%,4.67,5.49,19.19%,9.53%,-10.14%,n/a,0.01,N/A,N/A,,N/A,N/A,N/A,N/A
HERITGFOOD,Heritage Foods,Consumer Durables,385.70,18.75,0.87,45.52,20.54,296.40,727.35,10.26%,126.86%,4.72%,7.81%,0.79,1.71,13.89%,7.96%,59.76%,4.01,0.16,N/A,N/A,,N/A,N/A,N/A,N/A
GODREJAGRO,Godrej Agrovet,Consumer Durables,759.95,34.84,0.38,50.94,21.63,476.05,876.70,-1.48%,24.65%,4.44%,8.67%,0.28,1.04,12.69%,5.61%,33.40%,6.12,0.73,N/A,N/A,,N/A,N/A,N/A,N/A
VSTIND,VST Industries,Consumer Durables,262.60,13.68,0.44,43.16,19.16,242.05,486.15,5.67%,15.40%,22.87%,21.55%,0.82,2.66,24.80%,11.67%,8.63%,n/a,n/a,N/A,N/A,,N/A,N/A,N/A,N/A
RENUKA,Shree Renuka Sugars,Consumer Durables,27.58,n/a,0.78,39.28,-2.37,25.65,56.50,11.50%,Data not found,-4.43%,5.51%,0.09,0.68,Data not found,3.11%,-16.29%,n/a,n/a,N/A,N/A,,N/A,N/A,N/A,N/A
SULA,Sula Vineyards,Consumer Durables,267.00,32.17,0.12,42.36,8.37,243.00,584.00,3.48%,-25.02%,12.24%,25.10%,0.75,1.30,17.25%,9.57%,-16.39%,4.17,0.65,N/A,N/A,,N/A,N/A,N/A,N/A
ANANTRAJ,Anant Raj,Realty,490.40,43.09,0.61,42.05,11.30,314.00,947.90,48.53%,57.86%,19.89%,22.75%,2.54,5.90,8.28%,4.28%,205.46%,n/a,0.10,N/A,N/A,,N/A,N/A,N/A,N/A
GODREJPROP,Godrej Properties,Realty,"2,126.80",40.05,0.95,53.50,53.17,"1,901.00","3,402.70",29.84%,121.91%,35.23%,1.61%,0.25,1.43,7.63%,-0.30%,49.92%,5.46,1.22,N/A,N/A,,N/A,N/A,N/A,N/A
DLF,DLF Limited,Realty,680.25,42.07,0.35,48.30,16.18,622.00,967.60,21.79%,68.49%,57.22%,26.50%,0.56,2.30,7.06%,2.16%,13.56%,4.19,0.11,N/A,N/A,,N/A,N/A,N/A,N/A
SIGNATURE,Signatureglobal (India),Realty,"1,096.00",189.01,n/a,44.83,5.79,"1,010.80","1,647.00",113.61%,Data not found,3.04%,0.53%,0.13,1.24,4.80%,-0.40%,Data not found,24.33,3.61,N/A,N/A,,N/A,N/A,N/A,N/A
LODHA,Macrotech Developers,Realty,"1,196.90",47.32,0.29,53.44,25.27,"1,035.15","1,649.95",42.09%,50.06%,18.48%,27.27%,0.27,1.63,15.78%,3.69%,40.29%,6.54,0.44,N/A,N/A,,N/A,N/A,N/A,N/A
SOBHA,Sobha,Realty,"1,225.05",198.49,1.14,48.86,6.17,"1,096.85","2,160.80",0.48%,-35.52%,1.71%,7.30%,0.04,1.08,1.96%,0.96%,80.38%,3.51,0.44,N/A,N/A,,N/A,N/A,N/A,N/A
PRESTIGE,Prestige Estates Projects,Realty,"1,180.00",83.43,0.63,45.98,14.20,"1,083.65","2,074.80",-4.31%,-66.56%,7.29%,30.54%,0.16,1.19,14.77%,2.65%,54.40%,2.93,0.72,N/A,N/A,,N/A,N/A,N/A,N/A
PHOENIXLTD,The Phoenix Mills,Realty,"1,635.75",56.24,0.69,53.76,29.03,"1,338.05","2,068.50",Data not found,1.00%,25.89%,55.38%,0.92,1.51,11.36%,6.53%,45.82%,n/a,0.35,N/A,N/A,,N/A,N/A,N/A,N/A
OBEROIRLTY,Oberoi Realty,Realty,"1,634.90",23.07,0.64,51.78,70.97,"1,359.25","2,343.65",31.59%,59.41%,47.34%,59.96%,0.68,3.89,14.79%,7.78%,60.15%,4.02,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
BRIGADE,Brigade Enterprises,Realty,966.50,37.01,0.82,47.27,27.35,914.85,"1,453.10",31.69%,101.11%,12.13%,26.91%,0.27,1.16,11.97%,3.27%,46.33%,n/a,1.04,N/A,N/A,,N/A,N/A,N/A,N/A
RELIANCE,Reliance Industries,Largecap,"1,274.00",24.94,0.65,57.70,51.13,"1,156.00","1,608.80",7.12%,-1.12%,7.36%,17.14%,0.62,1.18,9.01%,4.15%,-11.69%,2.11,0.37,N/A,N/A,,N/A,N/A,N/A,N/A
TCS,Tata Consultancy Services,Largecap,"3,604.00",26.76,0.48,44.48,134.77,"3,457.00","4,592.25",5.55%,9.85%,19.34%,26.10%,2.42,2.62,48.67%,24.50%,7.95%,11.92,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
HINDUNILVR,Hindustan Unilever,Largecap,"2,257.85",49.40,0.23,52.31,45.73,"2,136.00","3,035.00",1.23%,4.15%,17.14%,22.64%,1.20,1.66,20.17%,11.06%,-12.65%,10.45,0.03,N/A,N/A,,N/A,N/A,N/A,N/A
ITC,ITC Limited,Largecap,410.25,25.43,0.21,49.53,16.10,391.20,528.50,8.43%,-2.00%,26.31%,34.60%,1.85,3.00,28.74%,17.15%,4.97%,6.81,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
INFY,Infosys,Largecap,"1,569.00",23.23,0.62,33.29,67.60,"1,358.35","2,006.45",3.02%,11.25%,17.29%,23.09%,1.85,2.13,33.04%,15.90%,21.94%,7.38,0.09,N/A,N/A,,N/A,N/A,N/A,N/A
LT,Larsen & Toubro,Largecap,"3,488.00",34.45,0.72,65.62,101.28,"3,141.00","3,963.50",16.76%,11.98%,5.52%,11.37%,0.92,1.24,14.99%,4.46%,2.31%,n/a,1.19,N/A,N/A,,N/A,N/A,N/A,N/A
ASIANPAINT,Asian Paints,Largecap,"2,326.25",53.03,0.40,63.06,44.14,"2,124.75","3,394.90",-3.58%,-22.16%,12.37%,16.81%,1.27,2.06,30.99%,15.13%,-32.95%,12.44,0.13,N/A,N/A,,N/A,N/A,N/A,N/A
MARUTI,Maruti Suzuki India,Largecap,"11,490",24.91,0.36,37.16,462.51,"10,725","13,680",11.65%,14.79%,9.66%,13.75%,0.57,0.87,16.84%,7.75%,5.40%,4.06,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
SUNPHARMA,Sun Pharmaceutical Industries,Largecap,"1,733.95",36.36,0.55,54.96,47.71,"1,377.20","1,960.35",8.76%,28.59%,22.16%,28.38%,1.82,2.56,15.20%,7.91%,49.78%,6.01,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
TATAMOTORS,Tata Motors,Largecap,673.25,7.81,1.54,47.90,n/a,606.30,"1,179.00",4.53%,-,7.17%,11.22%,0.62,0.97,42.20%,6.25%,-4.61%,n/a,0.95,N/A,N/A,,N/A,N/A,N/A,N/A
NESTLEIND,Nestlé India,Largecap,"2,247.00",66.41,0.17,54.83,33.90,"2,110.00","2,778.00",4.11%,9.00%,16.41%,22.17%,0.29,0.88,-,-,-18.40%,n/a,0.09,N/A,N/A,,N/A,N/A,N/A,N/A
M&M,Mahindra & Mahindra,Largecap,"2,665.80",24.10,1.05,40.61,110.62,"1,788.80","3,270.95",11.16%,10.98%,8.07%,18.30%,0.47,1.30,16.97%,6.29%,74.06%,4.22,1.46,N/A,N/A,,N/A,N/A,N/A,N/A
ULTRACEMCO,UltraTech Cement,Largecap,"11,481",53.17,0.45,65.12,216.46,"9,250","12,145",3.13%,-2.65%,8.76%,16.45%,0.42,0.86,12.22%,6.39%,8.76%,5.41,0.27,N/A,N/A,,N/A,N/A,N/A,N/A
ADANIENT,Adani Enterprises,Largecap,"2,316.65",75.08,0.98,54.19,30.08,"2,025.00","3,743.90",12.29%,-2.39%,3.56%,12.84%,0.36,0.83,8.12%,3.46%,-10.13%,n/a,1.69,N/A,N/A,,N/A,N/A,N/A,N/A
ADANIPORTS,Adani Ports and Special Economic Zone,Largecap,"1,180.50",25.25,0.63,59.96,46.85,995.65,"1,621.40",12.78%,40.00%,35.03%,59.94%,0.56,1.06,16.87%,6.43%,20.18%,4.47,0.85,N/A,N/A,,N/A,N/A,N/A,N/A
TATASTEEL,Tata Steel,Largecap,153.98,70.50,1.24,61.93,2.19,122.62,184.60,-5.33%,-,1.24%,11.04%,0.14,0.72,-4.97%,2.77%,0.50%,n/a,1.10,N/A,N/A,,N/A,N/A,N/A,N/A
POWERGRID,Power Grid Corporation of India,Largecap,290.40,17.38,0.39,63.57,16.71,247.30,366.25,-1.37%,-1.15%,34.17%,86.17%,0.66,0.79,18.30%,6.74%,30.14%,2.93,1.37,N/A,N/A,,N/A,N/A,N/A,N/A
JSWSTEEL,JSW Steel,Largecap,"1,060.00",78.48,1.09,72.36,13.50,823.80,"1,074.90",-3.09%,-70.72%,1.94%,13.24%,0.32,0.98,12.22%,5.83%,2.54%,n/a,1.17,N/A,N/A,,N/A,N/A,N/A,N/A
WIPRO,Wipro,Largecap,262.50,22.11,0.68,36.40,11.83,208.50,324.60,-2.15%,12.52%,13.97%,18.89%,2.71,2.83,15.74%,7.62%,28.34%,n/a,0.23,N/A,N/A,,N/A,N/A,N/A,N/A
TITAN,Titan Company,Largecap,"3,062.00",84.03,0.56,43.27,36.48,"2,985.05","3,867.00",18.56%,-6.27%,5.58%,8.56%,0.25,1.55,32.83%,10.06%,-11.49%,n/a,2.22,N/A,N/A,,N/A,N/A,N/A,N/A
COALINDIA,Coal India,Largecap,397.30,7.15,0.02,61.12,55.70,349.25,543.55,-6.93%,16.87%,26.00%,34.06%,1.16,1.70,51.47%,11.24%,2.17%,2.55,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
GRASIM,Grasim Industries,Largecap,"2,605.50",45.14,0.56,71.74,57.84,"2,171.60","2,877.75",10.44%,-32.46%,2.76%,18.94%,0.35,0.94,7.58%,3.70%,18.26%,1.87,1.09,N/A,N/A,,N/A,N/A,N/A,N/A
DRREDDY,Dr. Reddy's Laboratories,Largecap,"1,145.00",17.76,0.35,43.49,64.35,"1,092.45","1,421.49",14.74%,2.68%,17.24%,27.48%,1.18,1.92,18.47%,10.32%,19.80%,n/a,0.16,N/A,N/A,,N/A,N/A,N/A,N/A
NTPC,NTPC Limited,Largecap,358.00,15.86,0.47,64.49,22.55,292.80,448.45,6.14%,12.13%,11.82%,28.41%,0.54,0.85,13.50%,4.62%,7.13%,2.06,1.40,N/A,N/A,,N/A,N/A,N/A,N/A
EICHERMOT,Eicher Motors,Largecap,"5,345.25",33.00,0.48,62.15,161.82,"3,886.10","5,575.50",16.78%,15.63%,23.83%,27.52%,0.53,1.15,24.22%,13.37%,16.42%,n/a,0.02,N/A,N/A,,N/A,N/A,N/A,N/A
