Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics
ASTRAL,Astral,Midcap,"1,291.00",66.10,0.52,43.45,19.58,"1,232.30","2,454.00",4.59%,-7.77%,9.11%,15.73%,0.89,1.77,17.52%,10.24%,-13.38%,10.31,0.06,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
BHARATFORG,Bharat Forge,Midcap,"1,159.45",62.32,1.06,57.83,19.20,"1,002.15","1,804.50",1.90%,5.10%,5.80%,17.23%,0.64,1.08,13.09%,5.71%,7.68%,n/a,1.08,N/A,N/A,Positive,N/A,N/A,N/A,N/A
POLYCAB,Polycab India,Midcap,"5,125.00",42.22,0.67,46.57,121.92,"4,555.00","7,605.00",25.30%,10.30%,8.75%,12.64%,1.04,2.32,22.17%,12.34%,32.81%,8.53,0.02,N/A,N/A,Positive,N/A,N/A,N/A,N/A
LUPIN,Lupin,Midcap,"2,024.00",32.25,0.58,49.11,62.70,"1,493.30","2,402.90",12.94%,60.07%,13.04%,23.14%,0.94,1.58,14.38%,7.39%,78.05%,n/a,0.22,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
VOLTAS,Voltas,Midcap,"1,461.00",67.39,0.43,56.64,21.65,"1,101.20","1,944.90",32.16%,156.66%,4.83%,6.59%,0.91,1.34,4.37%,2.54%,82.96%,7.69,0.14,N/A,N/A,Positive,N/A,N/A,N/A,N/A
UPL,UPL Limited,Midcap,637.20,n/a,1.08,51.66,-1.20,458.45,671.30,-0.98%,-,-0.21%,12.05%,0.95,1.46,-5.51%,1.96%,-4.12%,n/a,1.05,N/A,N/A,Positive,N/A,N/A,N/A,N/A
GODREJPROP,Godrej Properties,Midcap,"2,126.80",40.05,0.95,53.50,53.17,"1,901.00","3,402.70",29.84%,121.91%,35.23%,1.61%,0.25,1.43,7.63%,-0.30%,49.92%,5.46,1.22,N/A,N/A,Positive,N/A,N/A,N/A,N/A
SUNDARMFIN,Sundaram Finance,Midcap,"4,556.00",31.62,0.51,47.31,144.66,"3,732.90","5,535.85",20.36%,-0.45%,40.02%,Data not found,4.41,4.49,15.53%,3.06%,18.11%,4.03,3.82,N/A,N/A,Positive,N/A,N/A,N/A,N/A
AUROPHARMA,Aurobindo Pharma,Midcap,"1,155.00",19.40,0.66,53.33,59.81,"1,031.05","1,592.00",10.85%,26.62%,11.29%,21.25%,0.96,1.98,11.18%,6.46%,22.03%,2.19,0.27,N/A,N/A,Negative,N/A,N/A,N/A,N/A
ABCAPITAL,Aditya Birla Capital,Midcap,184.99,13.08,1.15,70.32,14.13,149.01,246.90,26.58%,32.53%,12.73%,Data not found,3.15,3.29,13.63%,1.67%,7.15%,1.68,3.99,N/A,N/A,Negative,N/A,N/A,N/A,N/A
APLAPOLLO,APL Apollo Tubes,Midcap,"1,520.25",66.69,0.75,58.70,22.86,"1,272.70","1,728.95",12.19%,-10.96%,3.18%,5.43%,0.61,1.34,22.16%,9.80%,2.07%,n/a,0.27,N/A,N/A,Positive,N/A,N/A,N/A,N/A
SAIL,Steel Authority of India,Midcap,114.35,21.20,1.51,58.95,5.43,99.15,175.35,-5.10%,-27.69%,2.22%,10.26%,0.20,0.90,5.48%,2.79%,-8.51%,0.83,0.72,N/A,N/A,Positive,N/A,N/A,N/A,N/A
ASHOKLEY,Ashok Leyland,Midcap,204.50,21.20,0.44,44.47,9.63,166.25,264.65,4.52%,18.86%,5.96%,18.60%,0.41,1.09,23.85%,7.16%,21.47%,5.82,3.33,N/A,N/A,Positive,N/A,N/A,N/A,N/A
MAXHEALTH,Max Healthcare Institute,Midcap,"1,102.00",105.72,0.28,54.38,10.31,743.10,"1,227.95",25.86%,-4.98%,15.42%,24.93%,1.19,1.37,13.37%,7.21%,64.19%,n/a,0.20,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
LTF,L&T Finance,Midcap,153.47,14.96,1.26,60.85,10.24,129.20,194.25,10.42%,12.34%,32.27%,Data not found,2.09,2.12,10.27%,2.22%,-17.40%,1.57,3.49,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
PETRONET,Petronet LNG,Midcap,292.80,12.09,0.52,48.88,24.29,253.40,384.20,-0.66%,3.93%,6.94%,9.19%,2.72,3.10,22.36%,11.58%,55.49%,2.33,0.15,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
OFSS,Oracle Financial Services Software,Midcap,"7,820.00",29.67,0.45,43.98,262.84,"7,022.55","13,220.00",9.22%,6.89%,33.90%,44.56%,5.48,6.11,30.74%,19.61%,203.77%,n/a,0.00,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
PERSISTENT,Persistent Systems,Midcap,"5,483.85",64.64,0.53,51.59,85.30,"3,232.05","6,788.90",19.17%,27.23%,11.66%,15.41%,1.78,2.20,24.13%,12.24%,75.02%,13.88,0.08,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
PIIND,PI Industries,Midcap,"3,428.85",30.57,0.76,55.90,111.99,"2,951.10","4,804.05",5.89%,6.69%,21.42%,27.09%,2.98,3.90,21.11%,11.11%,4.96%,n/a,0.02,N/A,N/A,Positive,N/A,N/A,N/A,N/A
OBEROIRLTY,Oberoi Realty,Midcap,"1,634.90",23.07,0.64,51.78,70.97,"1,359.25","2,343.65",31.59%,59.41%,47.34%,59.96%,0.68,3.89,14.79%,7.78%,60.15%,4.02,0.14,N/A,N/A,No News,N/A,N/A,N/A,N/A
INDUSTOWER,Indus Towers,Midcap,333.25,8.94,0.30,46.86,37.37,292.00,460.35,5.07%,80.45%,33.82%,60.73%,0.92,1.44,34.76%,15.72%,68.10%,2.72,0.63,N/A,N/A,No News,N/A,N/A,N/A,N/A
HDFCAMC,HDFC Asset Management Company,Midcap,"4,009.00",36.41,0.76,58.13,110.24,"3,415.55","4,864.00",31.73%,32.39%,60.80%,81.00%,27.16,27.32,29.47%,22.04%,31.18%,12.62,n/a,N/A,N/A,No News,N/A,N/A,N/A,N/A
CGPOWER,CG Power and Industrial Solutions,Midcap,636.00,104.47,1.22,55.29,6.11,479.25,874.70,20.51%,-41.88%,10.02%,12.85%,1.26,1.64,36.22%,12.54%,60.37%,27.67,0.01,N/A,N/A,No News,N/A,N/A,N/A,N/A
SUZLON,Suzlon Energy,Midcap,56.75,67.61,1.35,55.21,0.84,37.90,86.04,54.09%,56.97%,12.35%,15.32%,0.98,1.96,26.87%,8.37%,63.30%,15.93,0.04,N/A,N/A,No News,N/A,N/A,N/A,N/A
IDEA,Vodafone Idea,Midcap,6.80,n/a,0.33,35.73,-4.45,6.61,19.18,1.35%,Data not found,-64.74%,27.34%,0.19,0.24,-,-1.79%,-28.95%,n/a,n/a,N/A,N/A,No News,N/A,N/A,N/A,N/A
SUPREMEIND,The Supreme Industries,Midcap,"3,425.00",42.60,0.82,43.77,80.43,"3,281.00","6,460.00",7.22%,-4.89%,9.80%,14.21%,1.41,2.58,22.49%,12.87%,3.47%,8.20,0.01,N/A,N/A,No News,N/A,N/A,N/A,N/A
IDFCFIRSTB,IDFC First Bank,Midcap,54.86,20.88,0.95,39.67,2.65,52.60,86.10,8.74%,-40.63%,Data not found,Data not found,Data not found,Data not found,10.13%,1.10%,-26.41%,n/a,n/a,N/A,N/A,No News,N/A,N/A,N/A,N/A
AUBANK,AU Small Finance Bank,Midcap,532.00,19.70,1.11,47.45,27.14,489.45,755.40,33.44%,14.67%,Data not found,Data not found,Data not found,Data not found,13.04%,1.54%,-20.98%,2.48,n/a,N/A,N/A,No News,N/A,N/A,N/A,N/A
TATAMOTORS,Tata Motors,Auto,673.25,7.81,1.54,47.90,n/a,606.30,"1,179.00",4.53%,-,7.17%,11.22%,0.62,0.97,42.20%,6.25%,-4.61%,n/a,0.95,N/A,N/A,No News,N/A,N/A,N/A,N/A
BHARATFORG,Bharat Forge,Auto,"1,159.45",62.32,1.06,57.83,19.20,"1,002.15","1,804.50",1.90%,5.10%,5.80%,17.23%,0.64,1.08,13.09%,5.71%,7.68%,n/a,1.08,N/A,N/A,Positive,N/A,N/A,N/A,N/A
APOLLOTYRE,Apollo Tyres,Auto,424.45,20.97,0.95,55.63,20.32,370.90,584.90,2.73%,-29.73%,5.04%,13.15%,0.60,1.28,13.00%,6.83%,16.59%,1.89,0.34,N/A,N/A,No News,N/A,N/A,N/A,N/A
ASHOKLEY,Ashok Leyland,Auto,204.50,21.20,0.44,44.47,9.63,166.25,264.65,4.52%,18.86%,5.96%,18.60%,0.41,1.09,23.85%,7.16%,21.47%,5.82,3.33,N/A,N/A,Positive,N/A,N/A,N/A,N/A
